series_id        	year	period	       value	footnote_codes
PRS88003142      	1999	Q03	         0.7	
PRS88003142      	1999	Q04	         0.8	
PRS88003142      	1999	Q05	         0.9	
PRS88003142      	2000	Q01	         2.1	
PRS88003142      	2000	Q02	         3.3	
PRS88003142      	2000	Q03	         1.9	
PRS88003142      	2000	Q04	         1.1	
PRS88003142      	2000	Q05	         1.7	
PRS88003142      	2001	Q01	         4.9	
PRS88003142      	2001	Q02	        -0.2	
PRS88003142      	2001	Q03	        -0.8	
PRS88003142      	2001	Q04	        -0.5	
PRS88003142      	2001	Q05	         1.7	
PRS88003142      	2002	Q01	         0.1	
PRS88003142      	2002	Q02	         0.6	
PRS88003142      	2002	Q03	         1.7	
PRS88003142      	2002	Q04	         2.4	
PRS88003142      	2002	Q05	         0.3	
PRS88003142      	2003	Q01	         0.5	
PRS88003142      	2003	Q02	         0.1	
PRS88003142      	2003	Q03	         1.8	
PRS88003142      	2003	Q04	         1.1	
PRS88003142      	2003	Q05	         1.1	
PRS88003142      	2004	Q01	         2.0	
PRS88003142      	2004	Q02	         3.0	
PRS88003142      	2004	Q03	         1.3	
PRS88003142      	2004	Q04	         4.2	
PRS88003142      	2004	Q05	         1.9	
PRS88003142      	2005	Q01	         3.2	
PRS88003142      	2005	Q02	         3.6	
PRS88003142      	2005	Q03	         5.2	
PRS88003142      	2005	Q04	         1.9	
PRS88003142      	2005	Q05	         3.4	
PRS88003142      	2006	Q01	         2.5	
PRS88003142      	2006	Q02	         2.8	
PRS88003142      	2006	Q03	         3.1	
PRS88003142      	2006	Q04	         0.7	
PRS88003142      	2006	Q05	         2.8	
PRS88003142      	2007	Q01	         2.6	
PRS88003142      	2007	Q02	         2.1	
PRS88003142      	2007	Q03	         2.8	
PRS88003142      	2007	Q04	         1.5	
PRS88003142      	2007	Q05	         2.2	
PRS88003142      	2008	Q01	         1.8	
PRS88003142      	2008	Q02	        -0.1	
PRS88003142      	2008	Q03	         4.1	
PRS88003142      	2008	Q04	         5.6	
PRS88003142      	2008	Q05	         2.1	
PRS88003142      	2009	Q01	         2.5	
PRS88003142      	2009	Q02	        -3.0	
PRS88003142      	2009	Q03	        -1.6	
PRS88003142      	2009	Q04	         0.3	
PRS88003142      	2009	Q05	         1.4	
PRS88003142      	2010	Q01	         1.2	
PRS88003142      	2010	Q02	         2.8	
PRS88003142      	2010	Q03	         3.7	
PRS88003142      	2010	Q04	         3.3	
